model,stdev
original,0.4171471
original,0.76663345
original,0.47034377
original,0.60505015
original,0.87281096
original,0.5041592
original,0.71514165
original,0.8048786
original,0.8407668
original,0.47863567
original,0.72815204
original,0.62893915
original,0.7954308
original,0.71400535
original,0.6934866
original,1.2778608
original,0.45851246
original,0.9778054
original,0.4572986
original,0.44112167
original,0.58269316
original,0.6929069
original,0.4063922
original,0.36769524
original,0.62391967
original,0.74579567
original,0.7156408
original,0.7634264
original,0.92293614
original,1.1347524
original,1.112512
original,0.9060901
original,0.76875037
original,1.2417752
original,1.0041556
original,0.62290037
original,1.3373902
original,0.5806712
original,1.2432299
original,0.67859656
original,0.8148786
original,0.5052882
original,0.50021863
original,0.56248796
original,0.34676662
original,0.607644
original,1.0755314
original,0.82858783
original,0.59688616
original,0.3571467
original,0.47228923
original,0.62211275
original,0.4915379
original,0.503262
original,0.50682896
original,1.0781475
original,0.5438347
original,0.67073214
original,0.36958268
original,0.53992885
original,0.6207526
original,0.34695175
original,0.33009672
original,0.7097192
original,0.5624378
original,0.46958598
original,0.63776284
original,0.32026377
original,0.8781812
original,0.33434194
original,0.95800686
original,0.7050415
original,0.72803456
original,0.64282966
original,0.4819055
original,0.62682897
original,0.49778515
original,0.82412624
original,0.5844736
original,0.9357836
original,0.826691
original,0.94823116
original,0.5095769
original,1.2191967
original,0.91354126
original,0.73869056
original,0.4522901
original,0.49949783
original,0.8205579
original,0.5293413
original,0.67074114
original,0.9588268
original,1.0591373
original,0.87949675
original,0.76725656
original,0.74180037
original,0.62740374
original,0.85580677
original,0.44420937
original,0.46379188
original,0.7103628
original,0.6442275
original,0.71295506
original,0.6595862
original,0.94016796
original,0.3007076
original,0.4481377
original,0.49080205
original,0.3159484
original,0.3788392
original,0.31564513
original,0.755627
original,0.89581794
original,0.63478804
original,0.7515313
original,0.70597535
original,0.6504455
original,0.49718666
original,0.27916363
original,0.9475393
original,0.7571156
original,0.62347007
original,1.0200619
original,0.35410005
original,0.5844363
original,0.6733129
original,0.7750174
original,0.3363313
original,0.8455307
original,0.92596596
original,0.5806146
original,0.711412
original,1.0613769
original,0.52987045
original,0.95173895
original,1.0088166
original,0.58220035
original,0.37726995
original,0.77782714
original,0.32718238
original,1.2144227
original,0.4023071
original,0.96944904
original,0.41736305
original,0.98628646
original,0.5424812
original,0.6344796
original,0.4807599
original,0.49779555
original,0.62874424
original,0.9776373
original,0.5392228
original,0.87085915
original,1.2188113
original,0.56709486
original,0.4725219
original,0.57292795
original,0.59486234
original,0.7347673
original,0.79698527
original,0.24969022
original,0.76783586
original,1.0614163
original,1.0112638
original,0.58555573
original,1.0788915
original,0.57501256
original,0.6672826
original,0.5043729
original,0.84129864
original,1.1560382
original,0.5473895
original,0.6451628
original,0.32575554
original,0.74846625
original,0.35440835
original,0.5436626
original,0.80818903
original,0.7730668
original,0.5774325
original,0.45973805
original,0.6472279
original,0.61342096
original,0.8434489
original,0.56145865
original,0.33920395
original,0.4514763
original,0.9401757
original,0.6737711
original,0.75467944
original,0.39310429
original,1.1371447
original,0.77479637
original,0.33868605
original,0.98493916
original,0.45274225
original,0.619319
original,0.8792447
original,0.41643262
original,0.5929581
original,0.6068482
original,0.9608789
original,0.59891653
original,0.91709334
original,0.4235333
original,0.45147184
original,0.54407144
original,0.46585137
original,0.43301618
original,0.830101
original,0.52618045
original,1.1073157
original,0.78836054
original,0.44772357
original,0.48026034
original,0.42617297
original,0.9818913
original,1.0324342
original,0.69313675
original,1.1035007
original,0.8066984
original,0.69148433
original,0.42458037
original,0.85654366
original,0.42596093
original,0.6606029
original,0.6810035
original,0.44350076
original,0.31060627
original,0.8823136
original,0.85930324
original,0.4410051
original,0.6498131
original,0.73434657
original,0.59037226
original,0.5716916
original,0.56259793
